,day,open,high,low,close
0,20210402,967.56,971.17,966.34,969.92
1,20210401,956.87,965.81,954.93,965.78
2,20210331,958.38,961.02,954.17,956.17
3,20210330,954.54,959.88,954.54,958.06
4,20210329,956.88,961.73,952.22,954.1
5,20210326,955.68,959.46,951.13,956.7
6,20210325,953.26,955.24,948.34,954.99
7,20210324,946.23,954.2,939.19,953.82
8,20210323,956.1,962.65,945.97,946.31
9,20210322,953.04,957.52,948.77,955.38
10,20210319,946.61,953.06,935.27,952.11
11,20210318,945.11,953.1,945.11,949.83
12,20210317,941.2,943.78,935.11,943.78
13,20210316,928.17,941,928.17,940.65
14,20210315,926.04,929.69,921.71,926.9
15,20210312,910.41,925.9,910.41,925.49
16,20210311,890.97,908.01,890.97,908.01
17,20210310,900.19,911.04,890.07,890.07
18,20210309,904.04,904.04,877.73,896.36
19,20210308,925.19,931.14,904.62,904.77
20,20210305,923.32,924.42,907.41,923.48
21,20210304,929.09,929.09,916.75,926.2
22,20210303,922.52,930.86,920.07,930.8
23,20210302,919.17,936.61,914.49,923.17
24,20210226,930.54,930.54,904.18,913.94
25,20210225,910.15,936.94,910.15,936.21
26,20210224,936.8,944.71,906.31,906.31
27,20210223,952.23,952.23,934.35,936.6
28,20210222,965.55,969.96,953.48,954.29
29,20210219,967.65,968.92,944.74,965.11
30,20210218,980.01,981.83,967.42,967.42
31,20210217,977.93,979.9,970.55,979.77
32,20210216,982.81,987.89,974.3,977.74
33,20210215,965.83,982.78,965.83,981.97
34,20210210,958.45,964.66,951.21,964.31
35,20210209,961.31,966.22,957.69,957.85
36,20210208,966.94,968.03,956.93,960.78
37,20210205,965.61,970.6,961.26,967.42
38,20210204,970.93,970.95,958.05,964.58
39,20210203,965.99,970.85,958.47,970.69
40,20210202,958.85,972.35,953.72,963.81
41,20210201,927.92,957.26,918.92,956.92
42,20210129,963.58,970.95,918.68,928.73
43,20210128,980.7,980.7,957.17,961.23
44,20210127,996.42,"1,000.75",984.37,985.92
45,20210126,"1,000.00","1,007.52",989.03,994.0
46,20210125,981.05,999.64,981.05,999.3
47,20210122,982.2,984.67,975.05,979.98
48,20210121,979.82,984.98,975.62,981.4
49,20210120,959.52,978.88,959.52,977.66
50,20210119,945.33,962.14,936.93,957.75
51,20210118,963.18,967.05,940.11,944.67
52,20210115,981.72,982.31,963.09,964.44
53,20210114,979.1,980.29,973.63,980.29
54,20210113,974.14,982.66,972.1,979.13
55,20210112,977.14,982.46,956.72,973.72
56,20210111,988.38,993.2,953.36,976.63
57,20210108,990.7,995.22,978.12,987.79
58,20210107,983.28,993.91,982.27,988.86
59,20210106,987.25,990.88,977.37,981.39
60,20210105,976.43,985.76,965.53,985.76
61,20210104,968.86,977.62,960.52,977.62
62,20201230,957.38,971.04,955.38,968.42
63,20201229,928.58,957.48,928.58,957.41
64,20201228,930.07,937.76,923.96,927.0
65,20201224,924.34,933.39,920.53,928.68
66,20201223,932.25,938.91,918.44,923.17
67,20201222,953.48,953.48,928.51,928.73
68,20201221,948.64,954.34,940.98,953.58
69,20201218,945.81,948.59,942.46,947.24
70,20201217,938.88,948.43,938.88,944.04
71,20201216,932.41,941.45,932.41,939.65
72,20201215,930.73,934.3,921.27,931.27
73,20201214,930.78,935.9,924.52,929.54
74,20201211,925.3,929.23,923.39,928.44
75,20201210,913.02,922.13,905.76,921.7
76,20201209,908.05,917.21,904.45,913.81
77,20201208,927.69,933.14,906.31,906.84
78,20201207,914.15,927.35,910.36,926.88
79,20201204,909.99,914.27,908.24,913.76
80,20201203,901.61,907.72,900.09,907.61
81,20201202,894.94,899.87,891.61,899.34
82,20201201,889.53,892.22,883.24,891.29
83,20201130,890.65,891.53,885.65,886.11
84,20201127,876.37,886.2,875.45,885.56
85,20201126,868.6,875.26,861.05,874.53
86,20201125,877.35,878.76,855.28,865.12
87,20201124,876.65,876.89,868.89,872.1
88,20201123,872.22,875.26,868.6,873.29
89,20201120,863.07,870.78,861.29,870.18
90,20201119,851.68,860.99,849.72,859.94
91,20201118,842.55,852.27,840.43,851.74
92,20201117,846.55,846.55,836.0,839.47
93,20201116,843.49,849.8,841.6,847.33
94,20201113,837.28,839.54,826.17,839.14
95,20201112,844.64,846.87,835.95,840.08
96,20201111,840.89,842.76,829.53,839.9
97,20201110,844.22,844.22,835.27,840.79
98,20201109,845.81,851.21,845.17,851.21
99,20201106,849.18,849.39,832.27,836.78
100,20201105,833.37,845.81,831.78,844.8
101,20201104,826.04,828.89,814.76,826.97
102,20201103,810.01,821.28,810.01,818.46
103,20201102,796.46,805.92,789.85,802.95
104,20201030,814.16,814.59,791.3,792.65
105,20201029,791.02,814.16,791.02,813.93
106,20201028,784.88,806.2,784.88,806.2
107,20201027,771.84,794.04,766.96,783.73
108,20201026,808.06,808.06,776.7,778.02
109,20201023,817.7,817.7,804.75,807.98
110,20201022,826.71,826.71,812.7,812.7
111,20201021,827.35,830.95,819.66,830.67
112,20201020,816.16,825.96,803.24,824.65
113,20201019,836.83,838.63,821.5,822.25
114,20201016,845.63,849.2,822.58,833.84
115,20201015,861.37,861.37,833.55,844.44
116,20201014,873.04,875.02,859.88,861.48
117,20201013,878.15,878.15,865.95,871.92
118,20201012,875.25,875.25,868.01,873.5
119,20201008,875.12,875.59,867.63,871.62
120,20201007,856.7,869.69,856.66,869.66
121,20201006,863.74,866.67,855.65,862.58
122,20201005,848.67,858.82,843.06,858.39
123,20200929,844.69,848.59,839.68,848.15
124,20200928,820.72,836.15,819.86,835.91
125,20200925,817.95,820.74,799.53,808.28
126,20200924,825.74,833.04,804.28,806.95
127,20200923,855.57,856.14,821.89,843.45
128,20200922,867.72,867.89,838.13,842.72
129,20200921,889.94,892.34,859.4,866.99
130,20200918,889.47,892.39,878.78,888.88
131,20200917,897.88,898.43,883.5,885.18
132,20200916,901.75,905.56,891.99,896.28
133,20200915,898.63,899.64,893.24,899.46
134,20200914,894.38,894.8,886.48,894.17
135,20200911,881.23,888.44,877.58,888.44
136,20200910,881.12,884.3,874.77,884.3
137,20200909,864.91,877.67,864.17,869.47
138,20200908,884.72,887.01,874.31,878.29
139,20200907,872.03,879.36,864.39,878.88
140,20200904,841.37,866.9,841.37,866.04
141,20200903,871.02,874.16,869.84,874.13
142,20200902,859.58,866.87,858.23,866.74
143,20200901,850.58,854.22,847.53,853.37
144,20200831,847.97,852.54,839.63,848.24
145,20200828,841.76,850.38,837.86,841.3
146,20200827,842.38,842.83,832.74,836.4
147,20200826,838.86,842.48,827.27,841.35
148,20200825,821.53,836.41,820.02,836.31
149,20200824,798.2,815.74,787.93,815.74
150,20200821,801.14,802.7,781.41,796.01
151,20200820,816.63,821.11,785.0,791.14
152,20200819,810.86,818.74,805.52,818.74
153,20200818,834.55,834.55,794.91,800.22
154,20200814,854.71,854.71,831.15,835.03
155,20200813,854.82,862.98,852.15,854.77
156,20200812,858.88,858.88,836.58,845.6
157,20200811,863.07,863.72,858.0,860.23
158,20200810,859.53,863.8,854.48,862.76
159,20200807,858.3,859.43,849.01,857.63
160,20200806,854.02,855.73,847.9,854.12
161,20200805,837.19,847.38,837.11,847.28
162,20200804,833.28,835.35,830.55,835.35
163,20200803,820.41,827.79,815.15,827.57
164,20200731,817.52,818.7,814.23,815.3
165,20200730,812.83,814.41,808.02,814.19
166,20200729,807.71,809.77,804.29,808.59
167,20200728,807.29,810.97,802.04,807.85
168,20200727,795.19,804.58,795.19,801.23
169,20200724,796.08,804.61,788.72,794.8
170,20200723,796.46,803.07,792.27,801.69
171,20200722,790.58,795.32,785.97,794.99
172,20200721,787.3,792.2,785.75,790.58
173,20200720,786.25,786.29,776.97,781.96
174,20200717,776.97,783.32,775.78,783.22
175,20200716,783.24,783.24,769.39,775.07
176,20200715,783.14,783.29,775.96,781.29
177,20200714,776.19,782.7,775.29,778.39
178,20200713,777.92,781.19,773.08,781.19
179,20200710,773.75,775.99,766.51,772.81
180,20200709,770.46,774.5,769.31,772.9
181,20200708,761.19,765.96,758.38,765.96
182,20200707,763.4,764.46,755.44,759.16
183,20200706,754.74,759.93,750.43,759.9
184,20200703,746.13,752.22,741.11,752.18
185,20200702,732.94,742.55,732.09,742.55
186,20200701,743.53,744.03,726.36,727.58
187,20200630,744.54,744.54,731.76,737.97
188,20200629,743.88,747.3,732.86,734.69
189,20200626,758.62,758.62,742.57,750.58
190,20200625,749.81,757.23,745.98,750.36
191,20200624,758.15,765.21,755.12,759.5
192,20200623,758.61,761.37,744.26,753.23
193,20200622,742.98,752.98,741.78,751.64
194,20200619,743.35,743.94,732.55,742.03
195,20200618,738.11,743.12,732.92,737.33
196,20200617,731.91,743.11,717.68,735.4
197,20200616,716.6,735.74,714.14,735.38
198,20200615,745.6,747.21,693.15,693.15
199,20200612,722.91,747.37,722.81,746.06
200,20200611,760.07,766.96,752.04,757.06
201,20200610,754.3,759.48,752.29,758.62
202,20200609,756.02,756.45,746.56,753.82
203,20200608,754.12,754.32,747.37,753.04
204,20200605,743.65,749.75,739.52,749.31
205,20200604,742.87,744.36,733.91,742.37
206,20200603,749.49,750.14,734.63,737.66
207,20200602,737.67,743.7,735.06,743.58
208,20200601,716.96,735.72,716.83,735.72
209,20200529,706.16,714.51,700.84,713.68
210,20200528,728.76,728.8,695.3,708.75
211,20200527,728.26,730.41,722.04,724.59
212,20200526,723.28,729.16,718.81,729.11
213,20200525,712.88,719.89,708.6,719.89
214,20200522,717.78,719.15,702.5,708.58
215,20200521,714.33,716.72,711.71,716.02
216,20200520,697.15,709.16,697.09,708.76
217,20200519,696.01,696.39,687.67,696.36
218,20200518,695.17,695.9,688.88,690.85
219,20200515,695.8,696.91,686.23,691.93
