,day,open,high,low,close
0,20210402,"3,104.72","3,121.58","3,101.60","3,113.64"
1,20210401,"3,073.77","3,090.88","3,069.68","3,087.40"
2,20210331,"3,073.39","3,093.89","3,061.40","3,061.42"
3,20210330,"3,038.44","3,074.57","3,038.44","3,070.00"
4,20210329,"3,047.71","3,054.21","3,025.39","3,036.04"
5,20210326,"3,012.79","3,041.86","3,012.79","3,041.01"
6,20210325,"2,995.67","3,024.63","2,987.83","3,008.33"
7,20210324,"2,996.32","3,006.54","2,971.04","2,996.35"
8,20210323,"3,038.25","3,058.79","3,003.05","3,004.74"
9,20210322,"3,040.01","3,048.11","3,019.60","3,035.46"
10,20210319,"3,063.01","3,063.01","3,022.49","3,039.53"
11,20210318,"3,054.93","3,090.19","3,054.93","3,066.01"
12,20210317,"3,067.76","3,069.57","3,027.20","3,047.50"
13,20210316,"3,049.23","3,071.54","3,049.23","3,067.17"
14,20210315,"3,057.06","3,065.17","3,036.14","3,045.71"
15,20210312,"3,030.73","3,061.43","3,030.73","3,054.39"
16,20210311,"2,964.30","3,028.37","2,964.30","3,013.70"
17,20210310,"2,980.76","3,013.95","2,951.53","2,958.12"
18,20210309,"2,989.96","3,000.49","2,929.36","2,976.12"
19,20210308,"3,031.99","3,055.65","2,992.64","2,996.11"
20,20210305,"3,036.16","3,036.98","2,982.45","3,026.26"
21,20210304,"3,076.88","3,076.88","3,022.54","3,043.49"
22,20210303,"3,041.20","3,083.04","3,029.37","3,082.99"
23,20210302,"3,021.68","3,096.50","3,020.74","3,043.87"
24,20210226,"3,089.49","3,089.49","2,988.28","3,012.95"
25,20210225,"3,026.47","3,099.80","3,026.47","3,099.69"
26,20210224,"3,070.58","3,092.05","2,993.46","2,994.98"
27,20210223,"3,069.26","3,094.29","3,035.46","3,070.09"
28,20210222,"3,114.03","3,142.48","3,079.16","3,079.75"
29,20210219,"3,089.96","3,109.67","3,040.28","3,107.62"
30,20210218,"3,131.74","3,140.40","3,086.66","3,086.66"
31,20210217,"3,162.95","3,162.95","3,115.48","3,133.73"
32,20210216,"3,151.85","3,180.94","3,145.84","3,163.25"
33,20210215,"3,108.70","3,156.56","3,108.70","3,147.00"
34,20210210,"3,088.13","3,111.88","3,064.25","3,100.58"
35,20210209,"3,102.25","3,129.66","3,084.67","3,084.67"
36,20210208,"3,113.63","3,128.54","3,085.59","3,091.24"
37,20210205,"3,098.49","3,124.62","3,081.78","3,120.63"
38,20210204,"3,135.02","3,135.02","3,068.46","3,087.55"
39,20210203,"3,108.42","3,142.26","3,091.85","3,129.68"
40,20210202,"3,065.56","3,138.95","3,065.56","3,096.81"
41,20210201,"2,976.81","3,056.87","2,947.24","3,056.53"
42,20210129,"3,078.73","3,100.22","2,962.70","2,976.21"
43,20210128,"3,114.98","3,114.98","3,046.64","3,069.05"
44,20210127,"3,143.46","3,182.53","3,118.89","3,122.56"
45,20210126,"3,203.96","3,209.18","3,132.67","3,140.31"
46,20210125,"3,144.01","3,212.22","3,142.80","3,208.99"
47,20210122,"3,163.83","3,185.26","3,140.60","3,140.63"
48,20210121,"3,123.27","3,163.21","3,123.27","3,160.84"
49,20210120,"3,115.04","3,145.01","3,077.15","3,114.55"
50,20210119,"3,013.05","3,107.00","3,011.32","3,092.66"
51,20210118,"3,079.90","3,079.90","3,003.89","3,013.93"
52,20210115,"3,153.84","3,189.90","3,085.90","3,085.90"
53,20210114,"3,148.65","3,159.03","3,128.72","3,149.93"
54,20210113,"3,128.26","3,164.37","3,109.63","3,148.29"
55,20210112,"3,145.87","3,154.79","3,047.56","3,125.95"
56,20210111,"3,161.90","3,266.23","3,096.19","3,148.45"
57,20210108,"3,040.11","3,161.11","3,040.11","3,152.18"
58,20210107,"2,980.75","3,055.28","2,980.75","3,031.68"
59,20210106,"2,993.34","3,027.16","2,961.37","2,968.21"
60,20210105,"2,943.67","2,990.57","2,921.84","2,990.57"
61,20210104,"2,874.50","2,946.54","2,869.11","2,944.45"
62,20201230,"2,820.36","2,878.21","2,809.35","2,873.47"
